,Station,Latitude,Longitude
0,AAK,42.639 N,74.494 E
1,AFI,-13.9093 S,-171.7773 W
2,AKASG,,
3,AKTO,,
4,ANMO,34.9459 N,-106.4572 W
5,APG,,
6,ARCES,,
7,ASAR,,
8,ASF,,
9,ATAH,,
10,ATD,,
11,BATI,,
12,BBB,52.1847 N,-128.1133 W
13,BELG,,
14,BORG,64.7474 N,-21.3268 W
15,BOSA,,
16,BRDH,,
17,BRTR,,
18,BVAR,,
19,CFA,,
20,CMAR,,
21,CMIG,,
22,CPUP,,
23,CTA,,
24,DAV,7.0697 N,125.5791 E
25,DBIC,,
26,DLBC,58.4368 N,-130.0304 W
27,EIL,,
28,EKA,,
29,ELK,,
30,ESDC,,
31,FINES,,
32,FITZ,,
33,FRB,,
34,GEYT,,
35,GNI,40.148 N,44.741 E
36,GUMO,13.5893 N,144.8684 E
37,HNR,-9.4387 S,159.9475 E
38,ILAR,,
39,INK,68.3065 N,-133.5254 W
40,JAY,,
41,JCJ,,
42,JHJ,,
43,JKA,,
44,JNU,,
45,JOW,,
46,JTS,10.2908 N,-84.9525 W
47,KAPI,-5.0142 S,119.7517 E
48,KBZ,,
49,KDAK,57.7828 N,-152.5835 W
50,KEST,,
51,KIRV,,
52,KLR,,
53,KMBO,-1.1271 S,37.2525 E
54,KRVT,,
55,KSRS,,
56,KURK,50.7154 N,78.6202 E
57,KVAR,,
58,LBTB,-25.0151 S,25.5967 E
59,LEM,,
60,LPAZ,,
61,LPIG,,
62,LSZ,-15.2779 S,28.1882 E
63,LVC,-22.6127 S,-68.9111 W
64,MA2,59.5756 N,150.77 E
65,MATP,,
66,MAW,,
67,MBAR,-0.6019 S,30.7382 E
68,MDT,,
69,MKAR,,
70,MLR,,
71,MMAI,,
72,MSVF,-17.7448 S,178.0528 E
73,NEW,,
74,NNA,-11.9875 S,-76.8422 W
75,NOA,,
76,NRIK,,
77,NVAR,,
78,NWAO,-32.9277 S,117.239 E
79,OBN,55.1146 N,36.5674 E
80,PALK,7.2728 N,80.7022 E
81,PDAR,,
82,PETK,,
83,PFO,33.6107 N,-116.4555 W
84,PLCA,,
85,PMG,-9.4047 S,147.1597 E
86,PMSA,-64.7744 S,-64.0489 W
87,PSI,,
88,PTGA,-0.7308 S,-59.9666 W
89,QSPA,-89.9289 S,144.4382 E
90,RAO,-29.245 S,-177.929 W
91,RAR,-21.2125 S,-159.7733 W
92,RCBR,-5.8274 S,-35.9014 W
93,RES,,
94,ROSC,,
95,RPN,-27.1267 S,-109.3344 W
96,RPZ,,
97,SADO,,
98,SCHQ,,
99,SDV,8.8839 N,-70.634 W
100,SEY,,
101,SHEM,,
102,SIJI,,
103,SJG,18.1091 N,-66.15 W
104,SNAA,,
105,STKA,,
106,SUR,-32.3797 S,20.8117 E
107,TEIG,20.2263 N,-88.2763 W
108,TGY,,
109,TIXI,71.6341 N,128.8667 E
110,TKL,,
111,TORD,,
112,TSUM,-19.2022 S,17.5838 E
113,TXAR,,
114,ULM,,
115,URZ,,
116,USHA,,
117,USRK,,
118,VNDA,-77.5172 S,161.8528 E
119,VRAC,,
120,WRA,,
121,WSAR,,
122,YAK,62.031 N,129.6805 E
123,YKA,,
124,ZALV,,
